,CAUCHY,,,BFGS,,,Especrtal Constante,,,Espectral com Armijo,,,Espectral com Armijo modificado,,
Funções,val_calls,grad_calls,tempo,num_aval_f,num_aval_grad,tempo,num_aval_f,num_aval_grad,tempo,num_aval_f,num_aval_grad,tempo,num_aval_f,num_aval_grad,tempo
ARGLINA,3,2,0.021708102,4,3,0.061390041,0,3,0.003255913,,,,16,4,0.0043296
ARGLINB,-6898648,-100001,0,-451088,-20001,-150.3694345,0,44,0.112139334,,,,628,110,0.0828408
BA-L1SPLS,2321,93,0.061657399,996,163,0.047473695,0,-100002,0,,,,66,50,0.0048282
BIGGS6,-433366,-100001,0,92,83,0.009450786,0,9,0.000156809,,,,1202,713,0.0172157
BROWNAL,146043,8591,25.39095622,92,65,0.298808273,0,-100002,0,,,,24,10,0.0017497
COATING,-1392362,-100001,0,1595,743,1.872224209,0,-100002,0,,,,-172606,-100002,0
FLETCHCR,209140,17769,22.87522377,4935,963,602.5692534,0,-100002,0,,,,38789,24516,3.9593526
GAUSS2LS,-3318694,-100001,0,123,45,0.089385479,0,-100002,0,,,,-10000002,-100002,0
GENROSE,268068,22775,19.74684217,6772,2559,303.4637032,0,37592,4.172937054,,,,6438,3836,0.3152809
HAHN1LS,-4731468,-100001,0,-119018,-20001,-5.70875349,0,2,1.62E-05,,,,2,2,2.31E-05
HEART6LS,-1810303,-100001,0,10774,8955,0.221777299,0,-100002,0,,,,-361906,-100002,0
HILBERTB,110,23,0.000634389,38,25,0.0009903129999,0,9,0.001398627,,,,21,8,0.0002626
HYDCAR6LS,-1659524,-100001,0,1604,1385,0.148662722,0,-100002,0,,,,-178633,-100002,0
LANCZOS1LS,-466617,-100001,0,190,167,0.048081833,0,-100002,0,,,,1195,713,0.0209597
LANCZOS2LS,-466641,-100001,0,190,165,0.049663014,0,-100002,0,,,,769,463,0.0143374
LRIJCNN1,29464,14733,505.5336813,209,209,2.842245727,0,68,0.261272586,,,,61,55,0.3740299
LUKSAN12LS,-3839063,-100001,0,1492,503,1.664017692,0,-100002,0,,,,1598,985,0.0379065
LUKSAN16LS,779,49,0.014102695,792,129,0.985592407,0,2,2.87E-05,,,,49,33,0.002383
OSBORNEA,-1645005,-100001,0,134,97,0.106827899,0,-100002,0,,,,109748,54945,1.5584331
PALMER1C,-2941031,-100001,0,127,67,0.023423854,0,-100002,0,,,,-291258,-100002,0
PALMER3C,-2392254,-100001,0,122,81,0.023744815,0,-100002,0,,,,-277681,-100002,0
PENALTY2,-5661263,-100001,0,-132635,-20001,-438.5481242,0,-100002,0,,,,-3093136,-100002,0
PENALTY3,-4992998,-100001,0,-276030,-20001,-1307.062777,0,-100002,0,,,,173,102,0.4642357
QING,3318,314,0.017574381,1031,259,0.099169149,0,90,0.028032694,,,,85,81,0.002046
ROSENBR,119427,10917,0.394317214,86,67,0.009634774,0,-100002,0,,,,108,52,0.0012081
STRTCHDV,1902,947,0.016317171,76,67,0.009187965,0,52,0.015017461,,,,65,60,0.0015667
TESTQUAD,-2091423,-100001,0,161,29,0.005081974,0,1498,0.26641613,,,,93342,51769,1.121339
THURBERLS,-2876190,-100001,0,-268650,-20001,-4.94531929,0,6,0.001145084,,,,-206145,-100002,0
TRIGON1,4208,491,0.016642051,84,35,0.004896728,0,-100002,0,,,,105,91,0.0019588
TOINTGOR,10252,1414,0.059607225,198,95,0.00576555,0,195,0.037509995,,,,362,276,0.007155